mpg,cylinders,displacement,horsepower,weight,acceleration,origin,name
18,8,307,130,3504,12.0,American,chevrolet chevelle malibu
15,8,350,165,3693,11.5,American,buick skylark 320
18,8,318,150,3436,11.0,American,plymouth satellite
16,8,304,150,3433,12.0,American,amc rebel sst
17,8,302,140,3449,10.5,American,ford torino
15,8,429,198,4341,10.0,American,ford galaxie 500
14,8,454,220,4354,9.0,American,chevrolet impala
14,8,440,215,4312,8.5,American,plymouth fury iii
14,8,455,225,4425,10.0,American,pontiac catalina
15,8,390,190,3850,8.5,American,amc ambassador dpl
15,8,383,170,3563,10.0,American,dodge challenger se
14,8,340,160,3609,8.0,American,plymouth 'cuda 340
15,8,400,150,3761,9.5,American,chevrolet monte carlo
14,8,455,225,3086,10.0,American,buick estate wagon (sw)
24,4,113,95,2372,15.0,Japanese,toyota corona mark ii
22,6,198,95,2833,15.5,American,plymouth duster
18,6,199,97,2774,15.5,American,amc hornet
21,6,200,85,2587,16.0,American,ford maverick
27,4,97,88,2130,14.5,Japanese,datsun pl510
26,4,97,46,1835,20.5,European,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.5,European,peugeot 504
24,4,107,90,2430,14.5,European,audi 100 ls
25,4,104,95,2375,17.5,European,saab 99e
26,4,121,113,2234,12.5,European,bmw 2002
21,6,199,90,2648,15.0,American,amc gremlin
10,8,360,215,4615,14.0,American,ford f250
10,8,307,200,4376,15.0,American,chevy c20
11,8,318,210,4382,13.5,American,dodge d200
9,8,304,193,4732,18.5,American,hi 1200d
27,4,97,88,2130,14.5,Japanese,datsun pl510
28,4,140,90,2264,15.5,American,chevrolet vega 2300
25,4,113,95,2228,14.0,Japanese,toyota corona
19,6,232,100,2634,13.0,American,amc gremlin
16,6,225,105,3439,15.5,American,plymouth satellite custom
17,6,250,100,3329,15.5,American,chevrolet chevelle malibu
19,6,250,88,3302,15.5,American,ford torino 500
18,6,232,100,3288,15.5,American,amc matador
14,8,350,165,4209,12.0,American,chevrolet impala
14,8,400,175,4464,11.5,American,pontiac catalina brougham
14,8,351,153,4154,13.5,American,ford galaxie 500
14,8,318,150,4096,13.0,American,plymouth fury iii
12,8,383,180,4955,11.5,American,dodge monaco (sw)
13,8,400,170,4746,12.0,American,ford country squire (sw)
13,8,400,175,5140,12.0,American,pontiac safari (sw)
18,6,258,110,2962,13.5,American,amc hornet sportabout (sw)
22,4,140,72,2408,19.0,American,chevrolet vega (sw)
19,6,250,100,3282,15.0,American,pontiac firebird
18,6,250,88,3139,14.5,American,ford mustang
23,4,122,86,2220,14.0,American,mercury capri 2000
28,4,116,90,2123,14.0,European,opel 1900
30,4,79,70,2074,19.5,European,peugeot 304
30,4,88,76,2065,14.5,European,fiat 124b
31,4,71,65,1773,19.0,Japanese,toyota corolla 1200
35,4,72,69,1613,18.0,Japanese,datsun 1200
27,4,97,60,1834,19.0,European,volkswagen model 111
26,4,91,70,1955,20.5,American,plymouth cricket
24,4,113,95,2278,15.5,Japanese,toyota corona hardtop
25,4,98,80,2126,17.0,American,dodge colt hardtop
23,4,97,54,2254,23.5,European,volkswagen type 3
20,4,140,90,2408,19.5,American,chevrolet vega
21,4,122,86,2226,16.5,American,ford pinto runabout
13,8,350,165,4274,12.0,American,chevrolet impala
14,8,400,175,4385,12.0,American,pontiac catalina
15,8,318,150,4135,13.5,American,plymouth fury iii
14,8,351,153,4129,13.0,American,ford galaxie 500
17,8,304,150,3672,11.5,American,amc ambassador sst
11,8,429,208,4633,11.0,American,mercury marquis
13,8,350,155,4502,13.5,American,buick lesabre custom
12,8,350,160,4456,13.5,American,oldsmobile delta 88 royale
13,8,400,190,4422,12.5,American,chrysler newport royal
19,3,70,97,2330,13.5,Japanese,mazda rx2 coupe
15,8,304,150,3892,12.5,American,amc matador (sw)
13,8,307,130,4098,14.0,American,chevrolet chevelle concours (sw)
13,8,302,140,4294,16.0,American,ford gran torino (sw)
14,8,318,150,4077,14.0,American,plymouth satellite custom (sw)
18,4,121,112,2933,14.5,European,volvo 145e (sw)
22,4,121,76,2511,18.0,European,volkswagen 411 (sw)
21,4,120,87,2979,19.5,European,peugeot 504 (sw)
26,4,96,69,2189,18.0,European,renault 12 (sw)
22,4,122,86,2395,16.0,American,ford pinto (sw)
28,4,97,92,2288,17.0,Japanese,datsun 510 (sw)
23,4,120,97,2506,14.5,Japanese,toyouta corona mark ii (sw)
28,4,98,80,2164,15.0,American,dodge colt (sw)
27,4,97,88,2100,16.5,Japanese,toyota corolla 1600 (sw)
13,8,350,175,4100,13.0,American,buick century 350
14,8,304,150,3672,11.5,American,amc matador
13,8,350,145,3988,13.0,American,chevrolet malibu
14,8,302,137,4042,14.5,American,ford gran torino
15,8,318,150,3777,12.5,American,dodge coronet custom
12,8,429,198,4952,11.5,American,mercury marquis brougham
13,8,400,150,4464,12.0,American,chevrolet caprice classic
13,8,351,158,4363,13.0,American,ford ltd
14,8,318,150,4237,14.5,American,plymouth fury gran sedan
13,8,440,215,4735,11.0,American,chrysler new yorker brougham
12,8,455,225,4951,11.0,American,buick electra 225 custom
13,8,360,175,3821,11.0,American,amc ambassador brougham
18,6,225,105,3121,16.5,American,plymouth valiant
16,6,250,100,3278,18.0,American,chevrolet nova custom
18,6,232,100,2945,16.0,American,amc hornet
18,6,250,88,3021,16.5,American,ford maverick
23,6,198,95,2904,16.0,American,plymouth duster
26,4,97,46,1950,21.0,European,volkswagen super beetle
